Unnamed: 0,x_test,future
5291.0,"[ 68  93  87  93  82  87 165  94  71 145  66  15  46  15 144  94  71  54
  82  15  35  41  15 132  86  41  86  41  15 106  86  41]",[134 151  93 160  28  28  15 132]
5292.0,"[139  80 170  47 108  48  80 103 151 103  35 150 103  78 103  80 150 103
 151 103  94 150 103  13 103  46 150 103 144 103 150 103]",[103 150 103 144 103  94 150 103]
5293.0,"[158 136 137 134 176  45 132 128  41  95  14  35  94 175 137  56  91  35
 158 136 137 134 176  45 132 128  41  95  35  41  95  41]",[ 14  35  95 136 121  41 136  35]
5294.0,"[ 87  11  14 135   9  46  94  11   9  14 118  15 132 179  15  85 127   7
 132  85 179  46  93  82  85 105  28  46  82  35  69  14]",[105  86 179  94  82  28  93 114]
5295.0,"[159 144  46 151 159 144  46 151  82 144  80 151  82 144  80 151  50 144
  91 150   7 144  53 151 166 144  85 151 166 144  85 151]",[144  46 151 159 144  46 151  82]
5296.0,"[165 134  73 174 165 134 144  60  73 174 144  60  73 174   9  73  73 174
  73 174  73 174  59 140 161  73 138 161  73 140 138  73]",[138  65 174  73  48  73  48  73]
5297.0,"[ 37  52 155 166  40  85  75  75   1  75  75   4 100  75  33  53   7   7
 153 166 166 180 179  66 179  21 159  46 155 155  16 155]",[ 52  69  99 107   0 126 180  15]
5298.0,"[122 103  78 122  78  78  35 170 144 103 144 140 144 152 144  35 108  13
 126 131  13 126 128  13 126 152  13 108  13  43 131  13]",[ 43 152  13  43 151  99  35 163]
5299.0,"[ 29  50  78   9  73  82 165  80 144 159 123  38 158 141 149 141 149 141
 149  66  19  66  19 158  38 100  22 100  22 158  29  10]",[159 158  38 158  38 158 141 149]
5300.0,"[ 46 150 103 165 179 150 117  71 150 117  71 150 117  71 105 150  45 179
  13 179 150 103  46 165  46 150 117  94  71  46 150 103]",[150 103 165  46 150 103  82 151]
5301.0,"[ 14  91  14  91   9 127  82   9  91 115  50  91  35  91  35  82  18  94
  82  35  85  91  97   7  97   7 127 135  14  80  14 157]",[ 14  91  14  91   9  85  68 127]
5302.0,"[  7 158  29 158 158 149   5   5 149   5  19  49 171   0 171  95 129  87
  29  29 112  88 121   5 121 158 178 158 178   0  87 181]",[177  87 181   7 177  87 181   7]
5303.0,"[ 29  69  99  37  88  37  99  88   5 100  42   5 100   5  42   0  93   8
  93   0   8 116 132 158 157 126 178  49 162 176  29  69]",[ 51 110 100   5  42   0 129  57]
5304.0,"[117  65  73  65  73  77 167  77 167 171 124  22 149 105 166 105 159 112
 159  82  14  14 158 160 176  78  56 160  45 137  56 160]",[159 160  94  78  31 160  73 142]
5305.0,"[154 152  73  99 101 176 152  13  42  71 136 101 152  13  71 136 152  13
  71 136  17 136 101  71 136   4 152  13  83  71 136 116]",[ 13  71 136 176 136 135 136 176]
5306.0,"[ 50  17  13  17  13  17  50  17  13  80 100 160  17  14   9  14  17 136
 152  17 136   9 136  17  46  83  73  17 136  80 136  17]",[ 17 136  94  35  13 136  71  94]
5307.0,"[ 54  54  54  54 118  77  30  77  31  14  91  24   9  24 174  73  24  71
  73  24  54  73  24  71  73 100 174  73 168 144  73 168]",[ 73 168 144  73  77 174  73  71]
5308.0,"[ 96  61 161 138 118 118 138 161 138 132  47 161  47  96  61 161 138 118
 118 138 161 138  25  47 161  47  77  61 161 138 118 118]",[161 138 161 117 161  69 137 117]
5309.0,"[  7 153 153  17  85 105 127 165   7 153  18  14 127   7  18 165 127   7
  18   9 127   7  18  14 127   7 118  49 112  15 112  15]",[ 15 112  15 165  54 150 117  95]
5310.0,"[ 14  82  96 165  82 165  46  17  14  82  46  96  17  46  17 105  14  82
  46 105  96  14 105  14   7  82  46 105   7 114  82   7]",[  7  82 180  85   7  20  82   7]
5311.0,"[ 29 157  29  29 129  29   8   5 178   5 178  29   0  29   0 129  29   8
  29 178  29 178 157   0  29   0  29  29   5  29   5  29]",[157  29  29 129  29   8   5 178]
5312.0,"[152  13  78 136  78  13 144  54  71 144  13 144  13 144  71 177 144  13
  50 150 151 144 136 151 144  91 161  13  71  50  13  71]",[140 144 136  91 144 136  50 108]
5313.0,"[ 19  70 129  19 149  19 129 149  19 149 129  22 149  22 129 149  22 149
 129 166  50 166 177  97  78  35 177  97 131  26  13 159]",[ 26 128 153 123   9 128 153 174]
5314.0,"[ 78  71  17  50  13  71  17  91 150 151 144  17  42 151 144 136 101 151
  71  17  42 151 144  50 163  71  17 180 103  50  35  94]",[17 50 35 71 17 50 91  6]
5315.0,"[125 178 125 178  16   8  16   8  16   8  25  99  25  99  25  99  77   0
  77   0  77   0 142   0 142   0 142   0   0   0   0  73]",[  9  54  49  71  54   0 179  94]
5316.0,"[ 54  73 136  80  94 152 159 126  54  13 136  35 179 152 180 154  54  73
 136  80  94 152 159 126  54  13 136  35  83   5  83   5]",[  5  83   5  83   5  83   5 121]
5317.0,"[136  91 136  71  46 154  14 154  91 154  80 163  91  61  14 163 105  61
  14  91  46  91  14  91  14  91 180  94  91 136 180 136]",[ 94  91 136  91 136  91  94  91]
5318.0,"[ 73 174 165 134  73 174 165 134  50  78  82 165  50  78 123 128 165 134
  78 177 165 134  78 177 165 134  78 177 165 134  78 177]",[ 73  82 165   9  73  14 160  17]
5319.0,"[149  24 124 166   9 171 117  73  22 128 110 174  73 149 178 124  24 110
 149 110 149  22  26 160  22 153  73  77  22 158  22 158]",[  9  45  73  22 128  24  73 117]
5320.0,"[107  33 102 128  90  33  98 102  26  53  22 153 166  78 136 123 165  78
 152 128  78 115  60  18  16 115  18 115  36  16 115  26]",[ 53 172 152  53  26   1 115  63]
5321.0,"[165  35  13  94  71  82 165  35  13  91 151  14 160  91 151  14 160  91
 151  14 160  54 117  17 103  71  45 165 134  17  14  35]",[ 94  46 179 105 179  85  97  94]
5322.0,"[117 132  21  78 165  19 152 144 117  60  78  78  78  78  78  52 117 177
  78  52 177 117  78  66 177 128  78  52 177 117  78  10]",[177  78  52  60 117  78  78  78]
5323.0,"[144 166  72 121 166 134 121  60 166  75 152 153  21  75 153 161  75 140
  53  75  80 147  75 166  80 153  75  80  53  37 167  80]",[105  80 166 145  80  26  19  35]
5324.0,"[ 71 169  17 169 123  17 114  14  17 114  71 165 114  73 165 114  17  91
 114  14  17 114 165  73 112 151  13 112 165  54  69  78]",[ 69 165  54  93 160 165  93  71]
5325.0,"[ 60  45   5  60  45  60  45 103 117 152 160 151  13  82 165  94  71 159
 123 179  54 180 136 105  14 180 136 105  14  37  82  37]",[ 87  66 159  19 110 129  22 178]
5326.0,"[  9  73  82 165  94  71 159 123  46  17 179  54  46  17 179  54  85  91
 105  14 179  54  46  17 105  14 179  54  46  17  94  71]",[165  35  13  91 151  14 160 136]
5327.0,"[136  60  82 179  80  54  60  80 159  82  50 128  82 159   9  14 128   9
 159  78  82  50  82 166 165 159  50 159 105 123  78 159]",[159 153 144 159   9 159 159 165]
5328.0,"[ 29  78 165 123  29  50  53  60  54  50 144  54  50  53 115 144  54  50
 115  53 144  54  50  53 166 144  54  50 166 179  13  54]",[179 180  73 136  50 180 159 165]
5329.0,"[ 73 117 123 117 124  71 117  77  73 117  15 161 117 118 151 117 118  54
 117 123 117  77  24  31  24  24 174  73  24  71  73  24]",[ 73  24  71  73 100 174  73 168]
5330.0,"[ 46  91  35 180  50 103  13  35  46  35  50  17  50  17  13  78 122  13
  17  50  17  13  78  13  17  78 122  13  17  50  17  13]",[ 13  17 160  51  13  17  14  17]
5331.0,"[129 132 123  78 123 129 132 123 116 103  17  51 148  17   8  78  17 157
 148  17  29 163 103  51  78 103  88  13 103  99  71 103]",[150 103 144 151 103 151 103  60]
5332.0,"[128 136 178  66 178 136   7 116 177 123  66 123  49  60  54  49  52  49
  54   0 137  17 153  98 120  53  17  26  53 144  19   7]",[153  73   7 165  19 155  60 144]
5333.0,"[ 17 105 165 180  17 105 165 159  17  46 165 159  17  46 165  35  17  82
 165  35  17  82 165  94  17  46 165 179  17  46 165  94]",[ 82 165  94  17  46 165  94  17]
5334.0,"[ 78  78  75 152  73  73  37 117  78  78  37 117 131  78  78 124  78 174
  73  73  78  73  73  78  73  73 149 152 174  73  24 117]",[128 174  73  73 124  78 174  73]
5335.0,"[151 144 151 103  17 163  78  13  94 103  71  17  35  78  71  17  50  13
  71  17  91 150 151 144  17 144 151 144 151 144  17 144]",[ 91 137 151 144  17 144 151 144]
5336.0,"[137  82 134  14 137  82 134  14 137  17 163  14 137  82 134  14 137  82
 134  14 137 123 138  14 137 179  61  82 177 179  61  82]",[ 54  45  82 177  97 170 179 177]
5337.0,"[158 166 166 159 111 105 105 159 180 180 159 179 179 132 180 180 132 179
 179  52  52 180 180  52  52 179 179  66  10 159 159 110]",[159 159  10  78 123 165  78 128]
5338.0,"[126  10  60  78  16 155  16  60  16  16  78  16 155  16  65 174  73  65
 155  65 174  65  65  73 155 155  65  16  60  78  16 155]",[ 60  16  16  78  16   1 155  16]
5339.0,"[163 138 163 138 163  61 114  47 108  47 108  47 108  47 108 114  47 108
  47 108 114  47 108  47 108 114  47 108  47 108  47 108]",[108  47 108  47 108  47 108  47]
5340.0,"[ 80  54 144 161  54  50  82  54 165 177  54  14  82  17 165 134  17   9
  14 165 103  14   9  14 165 117  14  50 160  54 165  78]",[ 14  73 123  73 123  54 174  71]
5341.0,"[178 111  10  16 149  16  16 123  16  16  65   0  59  65  30  65   8  30
  65  59  25 112  59  59  25  25  54  59  59  25 124   3]",[111  22 168 168 111  19  16 155]
5342.0,"[143  93 143 176   5  41  95  41  95  99  95 106  95  99  95  87  93  87
  93  28 137 103 160  17  28 165  17  41  95  41  95  20]",[ 20  95 156 143  87  93  41  95]
5343.0,"[159 180 136  35  94 180 136  35 108  94 180 136  35  80 180 136  35  80
 180  70 136  35  70  80 180 122 136   9 111  80 180 136]",[153 159 180 136  35 159 180 129]
5344.0,"[159 159 140  26 127  22  73  53   7 165 159  80 153  82 177 166 159  78
 158 180  80 155 179  82 126 159  80  60 115  18  16 115]",[115  53  16 153 153 117  52 166]
5345.0,"[166 137 160 105  71 179 160  46  13  94  82  17 134 160  17  94 160  46
 165 179   9  46 134 165  53  14 165   7  14 153  82 117]",[ 54 165  85  91  14  46 150 151]
5346.0,"[163  78 103  13  17  78  91  47 151 134 165  17 151  24  69 169  51  92
  51 151 150 117 103  45 134 131 150  94  61  71  84  54]",[71 94 61 71 17  9 71 94]
5347.0,"[ 51 120  51 120  51 120  51 120  51 120  51 175  51 100  93  51 100  51
  93  93  51 110  42 110  42   3  49   3  49   3  49   3]",[  3  49   3  49   3  49 162 176]
5348.0,"[110 124  24 110 149  24 124 166   9 171 117  73  22 128 110 174  73 149
 178 124  24 110 149 110 149  22  26 160  22 153  73  77]",[158  22 158  37   9  45  73  22]
5349.0,"[ 85 123  78 166 123  50 180  60  78 144  78 179  54 123  82 161 117 180
 151 117 179 165 159  54 174 117  73 117  80 144 123 159]",[128 160 128  80  73 123 159 177]
5350.0,"[153   9 128  73  14  73 105 123   9 153  45  73  50  73 166  54  35  97
  45  13  50  13 166  54  82   7 128 165  50 165 166 123]",[ 80 128 123  18   9 123  26  14]
5351.0,"[132 135 135 135 135  15  15  84  88  84  88  84  88  84  88  84  88 156
  49 118  49 118 157 114 178  29  29  29  29  29  29  29]",[ 82 132 132  15 118 118 114 114]
5352.0,"[177 137 177  49 137 177 137 177 137 177 137 177  88 137 177 137 177 137
 177 137 131 178 178   5   5 116 116   5   5  22 178 121]",[ 87 129 171  49 149   5 112  29]
5353.0,"[102  53 153 105  80 126 178  26  57  63 126 178  26  57 178  63   7 129
 119 130  63   7  85 180  82   9  88 153 179  49  94 179]",[115 127  29 153  22   5 105  37]
5354.0,"[ 38 100  22 100  22 158  29  10  19 158  38 100  22 100  22  10  29  29
  78  72  72 149 149 149 149  70  70  19  19  19  19 106]",[ 70  70  70  70 162  51  92 122]
5355.0,"[142  10 142 142  10  10  10 142 111 142  78 142  10 142  10 142  10  10
  10 111  10  72  10  10  10  10 128  10 142  10 142 159]",[ 26 166 142  26 153 142  26 159]
5356.0,"[116 131 151  29  13 157 123  13  99 151  51 103  78  13  17  13  78  13
  78 103  78 103 131  99 163  64  64 122 136  14  64  99]",[ 64  64  99 122 136  14  64  99]
5357.0,"[ 94  82  28  93 114 165  17  91  93  14  17 165  15 165  32  13  56  71
  54  91  32  14  54  71 169  17 114 165 114  73  17  91]",[ 14  17  73 112 151 165  54  69]
5358.0,"[152  73   0  17   8  73 152  99 131 152  13 123  13 152 116  55  99  35
  35   9  80  35  35  35  35   9 136 123  80  35  35  14]",[ 35  35   9 145  80  35   9  83]
5359.0,"[ 16  90  98  30  90  26  65  90 119  10  26  26 128  90 119 142  26  26
 142  90 119 142  26  36 142  26 142  90  26  10  90  33]",[26 26 78 72 90 33 10 26]
5360.0,"[ 73 137  14  61   9 137  14 174  73 137  14  61   9 137  14 174  73 137
  14  61   9 137  14 174  73 137  71 138  14 137  94 134]",[137  71 138  14 137  94 134  14]
5361.0,"[ 50  50  50  34 137  45  60  45  82 165 105  14 180 136 105  14 159 123
  94  71  82 165  56 160 123 128 165 134 165 134  66 161]",[163  66 161 165 178  71  88 123]
5362.0,"[180 159 180 166 123 180  82 180 166 144 179  80 179  53  54 166  80 166
   7  50 144 166 159  91 166  26  50 166 159 136 166 166]",[144 179  80 179  85   4 180  80]
5363.0,"[144  98 174  79  73  36 131  19  13  33 170  53  60  90 138  26 128  29
  29 147 147 147 147 147 147 147  98  36 109 147 147 147]",[147 147 147 153 166 109 147 147]
5364.0,"[ 54  60  50  82 179  50  54 117  50  82 159  50 123  78  50  82 159  14
 123 165  14   9  80  14 144 138  14   9  80  54 144 161]",[ 50  82  54 165 177  54  14  82]
5365.0,"[166  10  36  85  10 130 153   3  98 178  10   8  26  10  90  33  10  26
  26  58 144  90  33  16  26  26  16  90  33  16  26 119]",[ 90  98  30  90  26  65  90 119]
5366.0,"[145   8  99  51 145 145  13   0 145   8  99  51 145 145  13  49  29 116
  99  57  13  49  29 116  99  57  13  99 122 157  29  51]",[  8  99 116  91  70 157  80  29]
5367.0,"[179 153  80   9  73  80 179 166  80  50 144  80 179 166  82  50  54  82
 159 180  82 136 177  82  80 180   9 136 174   9  80 179]",[ 54  60   9  82 179  91  54 117]
5368.0,"[152  45 152  45 152 151 163 140 152 137  45 150  71 131  45 117  78 117
  45 144 150 103 160 151 160 103  71  61  45 152 151 152]",[152  45 152 151 152  45  71 152]
5369.0,"[ 54 130  94 173  54 130  94 115  14 127 180 115  14 127 180 127  82   7
  46 127  82   7  46 119 165   7  82  86 160 151  95  13]",[ 41 144  71   5 144  71  86 160]
5370.0,"[ 13  71 136  35 137  13  71 136  35  13  71  14  35 159  13  71  14 179
  35 105  13  71  14  82 137 165 123  14  82 165 123  14]",[159  13  71  14 179  35 105  13]
5371.0,"[142 142  77   0  77  77  77   0  77  77 142 129  73  73  73  73  73  73
  73  73  77  73  73  73 142 107  73  73  73 107  73  73]",[107  73  73  73 142  73  73  73]
5372.0,"[  0 140  21  38 172 167  22 137 100 100  22 100 128 110  36 177 167  78
 158 155 167 110  68  60 167  16  72  11  21  16 179 159]",[ 52  80  52  80 172 128  38  21]
5373.0,"[ 17 131  73  17 160  82 136 131 151 136 103  35 136 131 151 136 128  35
  17 103 160  17  14 131 163 131 103  17 134 160  17  14]",[ 47 137 134  54 150 165  54  91]
5374.0,"[ 88  37 121  37  88  19  70  19 129  70  19  70 129  19 149  19 129 149
  22  41 129 162 145 162   8 145 162 145   8 167 145 167]",[ 37 124  37  88  19  70  19 129]
5375.0,"[ 17 165  17  34  14  54  71  17  82 114 165  28  74  12  15 132   7 110
 127   7 127   7 132 127   7  85 179  15 179 132  46 110]",[ 46 179  46  11 179 105  46  82]
5376.0,"[117  91  54  91 179 151  82  54  82  46 165 117  82  14 144  82 105 165
  82  14  73  82  82 151 117  91  54  91  80 124   9  54]",[ 82 103 134   9  14   9  82 160]
5377.0,"[110 120 110 120 162   3 162   3 109 129 109 129  49  49 104   0 104   0
 142 129 142 129 142 142 142 109 129  99  99  29 142 129]",[142 142 109 129  99  99  29 142]
5378.0,"[144   9  70 123  35  75  13 123 145 136  35 126  13 123 136  35 123  35
 136   9  17  50 126 123 136  42 152  13   4 123 136  70]",[ 13 123 136  70 136 135 136 100]
5379.0,"[ 46 159 109 159  78  94  94 109 179 159  78  94 159  74   9  78 128 159
 142   9 128 159 142  80 128  35 142   9  50 103   9 145]",[  9 103  80  14  60   9  50 100]
5380.0,"[128  10 128  10 128  58 128  16 128  16 177  16 128  16 128  30 128  65
 128 133  78  10  78 142  78 142  60 142  78 142  78 142]",[ 10  78 111 151  72  73  10  69]
5381.0,"[ 88 105 180 129 105 166  49 105 179  88 159 105 129 179 159   5  94  82
 178  94 159 160 179 105 128  85  97 134   7   8 128 117]",[160  78   8 151  73 129 151  73]
5382.0,"[144 166 180 179 159  80  35  78   9  50 136 144  54 123 144 123  54 136
  73  54 136  14 144 136  14  50  14  50  91 117  50  91]",[144  91   9  35   9  35   9 152]
5383.0,"[ 28  47 134  28 160  95  13  28 151 132 103 122 160 132 117 161 132  47
 161 150  91 161 163  69  61  69 151   6 144  69  71  45]",[ 61  45  69 151   6 165  69  13]
5384.0,"[  9  50 129 136  54  49  50 136  29  54 123  49  50 136   8  54 123 129
 136  54 116 123  54 129 136  54 178 123 144   8  54 123]",[144 123 115   8  26  53   0   7]
5385.0,"[160 161 117 118 151 117 118 123 117 118 151 117  77  73 117 123 117 124
  71 117  77  73 117  15 161 117 118 151 117 118 123 117]",[151 117  77  73 117 123 117 124]
5386.0,"[155  37  69  37  21 145 126  37  37  19  37  58  74  58  77  58  77 155
  77 155  22 155  14 155   9 159  28 105 153 155  26  79]",[114 155 114 114 107  15 107  91]
5387.0,"[144  60  73 174 152 140  73 174 152 140  73 174 152 140  73 174 152 140
 136 152  50  78 136 152 123 128 165 134  78 177  17 103]",[ 78  17 103  13 131  78 177 103]
5388.0,"[179  46 132  94  82 132   9 110  94  82   9 165  91  14 159 123 179  54
 159 123  82 165  91 151  54 117 123 128  54 117 123 128]",[117 123 128  54 117  80 144 179]
5389.0,"[106  67 106  67 106  67 106 106  67 106  67 106 122 157  29  29 157  67
  67 122 157  29  29 157  67  67 141  99   0   0 155   0]",[  4 141  99   0   0 155   0   4]
5390.0,"[ 94 145  66  15  18  15  80 127  94  54  82  15  35  41  15 132  86  41
  86  41  15 106  86  41  15 165  91  93  14  27  27 169]",[ 92 118 118  82 151 165  24 160]
5391.0,"[ 35 100 154 159 131 180 159  35  35 159  35 136  35  46 103 166  46  35
  35  92  46  35  50  35 180 140 153 180  80  80  89 180]",[  9  80 180 131  97 180 159 159]
5392.0,"[ 13 180 128 152  13 166 103  78  13 103  73 144 180 128  13 123 128 152
  13  46  60 152  13  60 152  73 159 131 152 144 131 152]",[ 80 103  13 144  46  78  13  17]
5393.0,"[ 54  50 166  71  50  35 179  13  50  35  94  78  50  35  94 117  50  35
  80  50  35  80 144  50  35 144 128  50 117  35 152 144]",[ 91 144 136  50 131  13  71  35]
5394.0,"[117  71  73   9  45  54 117  71  73  91 134  54 117 165 151  82 128 174
  54 117 123 165  82 128  54 117 123 165   9  45  54 117]",[ 73   9  45  54 117  71  73 118]
5395.0,"[153 127  11   7 127   7   7  15   7 132  77 153   7 127  18 124 115  18
 127   7  15 132   7  37  53   7  53   7  66  53   7 166]",[ 37 179  66 166  82  58 105 166]
5396.0,"[153 153 105 142 153 153 153  26 123  26  26  14 102 102 102  82 119 119
  24 119   9  24  98  98  98  36  50  36  36  54 115 115]",[ 14 102 102 113 105 113  26  26]
5397.0,"[105  46  82  14 103  17 165  17 160  14  82  46  87  18   7 105  46  82
  14 103  17 165  17 160  14  82  46 134  82  14 105 160]",[ 82  14 166 179  71  35  50 105]
5398.0,"[ 80  54  50 144 179 166  78  50 159 126 180 179 155  50  82  19 159  80
 155  54  50 179  80  54  50  37   9  50 177  78 123 126]",[ 54 155  78 165  19 123 144  52]
5399.0,"[ 51  51  51  28   6 157  82 178  56  88 156 176  14  95  91  35  82  46
  94  14 160  13  91 165  14  13  91 165  35  94  71  91]",[ 94  35  71  14  13 136  94  45]
5400.0,"[ 45 136  91 134  46  35 131  14  35  45  46  35 160  14  35 131  94   9
 137  14   9 160  80 152 105 103  80 105 128 153 180  45]",[180 151  85  82  71 105  82  45]
5401.0,"[ 50  77  78 127  50 149 160  26  14 149 160  26  14  19 117  36  54  19
 117  36  54 171 174  36  73 171 174  36  73  95 128 102]",[ 95 128 102 123  87 177 102  78]
5402.0,"[177 152  78  78  19 177 152  78  78  52 177 117  78  66 128  50   8 117
  60  78  78  75 152  73  73  37 117  78  78  37 131 117]",[ 78 124 174  78  73  73  78  73]
5403.0,"[172 167  16 158 177  75  72  11  21  38 155 177  52  16  38 172 167  16
 158 177  75  72  11  21  38 155 177  52  16  38 172 167]",[158 181  75  58  72  11  21  38]
5404.0,"[ 72   7 100  26 136  53   0 160   9  42   9 174 123 100 123  16 177  54
  16  52  54  80 159 177  82 123   9  82  78 123 155  60]",[ 37 144 159  80 177  82 123   9]
5405.0,"[134 165   9  60 144 107  45  71 159 110 128 160  73  71 123  80 128 123
 177  10 134 128 160  78  10 165 123 179  60 153 107  53]",[115  98 107  33 102 128  90  33]
5406.0,"[124  71 117  77  73 117  15 161 117 118 151 117 118 123 117 118 151 117
  77  73 117 123 117 124  71 117  77  73 117  15 161 117]",[151 117 118 165 117 123 117  77]
5407.0,"[ 69  69  73 174  69  69  73 174  69  73 159 128  14  73 159 128 105 138
  14 149  22 138  14  73 159 128  14  73 159 128 105 138]",[149  22 138  22 138  14 149  22]
5408.0,"[ 17  85 150  91  67  80  46  91 179  45  54 156  91  94  54  94  46 174
  14  73  94 105 137  14 160  94  46 174  14  73 179  45]",[156  91  94  54  94  61  71  84]
5409.0,"[137 140 137 140 137 140  64 163 138 163 138 163 138 163  61  47 108  47
 108  47 163 140 134  55  99  55  99   5  64  93  99 178]",[ 99  55  70  99  99 157  55  55]
5410.0,"[160  80  46  42 153   7  80  46  42  53 159  73  14  80  72 179 159  14
  80  42  46 179  78  50  80 155 179 180 126  50 179  37]",[166  78  50 159 126 180 179 155]
5411.0,"[108  47 163 140 134  55  99  55  99   5  64  93  99 178  99  99  55  70
  99  99 157  55  55  99  99   5  64  64  93  99  99 178]",[ 99  99  55  55  70  99  99 157]
5412.0,"[101 180 101  83 101  83 101  83 101 105 140 110  89 180  89  75  89  75
  89  75  89  35 131 101 101 101 101 101 101 101 101 101]",[ 35 131 125  57 125  57 125  57]
5413.0,"[181 113 113  56  56  82 123  94  71 159 165 179  13 151 160  14  54  91
  35  82 123  94  71 159 165 179  13 151 160  14  54  91]",[ 82 123  94  71 159 165  94  13]
5414.0,"[159  80 152  91   9 144 159 179   9  80 144 180  85 160  80  46  42 153
   7  80  46  42  53 159  73  14  80  72 179 159  14  80]",[ 46 179  78  50  80 155 179 180]
5415.0,"[ 54  71  54 151  14  17  14  12  73  14  17  14  64  13  14  17  14 114
 165  14  17  14 105 165  14  17  14 144 166  14 105  17]",[ 14  46 144  14  17  14  46 165]
5416.0,"[ 15  46  53  94 127 114  18  74 115 169  63  71  41 102  17  54 130  34
 102 106 115  34 127   7 165  15 119  93  28 105 118 106]",[114 105  46 105   7  28   7 114]
5417.0,"[  9 159 123 105 153 110 174 107 134  45 142 128  77 174 142 128   9  75
  82 107  94 159  59   9  77 159  59   8  16   8 116   1]",[  1  49 118  49  30   0  65   0]
5418.0,"[ 78  50  54  50 116  78 136 123 136  49  78  54 144  54 129  78 123  13
 123  88  78  71  13  71  78  71  13  71  78  71  13  71]",[71 13 71 88 78 71 94 13]
5419.0,"[132 132 135 135 135 135  15  15  84  88  84  88  84  88  84  88  84  88
 156  49 118  49 118 157 114 178  29  29  29  29  29  29]",[ 29  82 132 132  15 118 118 114]
5420.0,"[144  91 151  35 144  80 151  94 144  80 151  35 144  91 151  35 144  80
 151  35 144  91 151  35 144  91 151  50 144  14 150  80]",[141 157 141 157 141 157 141 157]
5421.0,"[117  15 165 117 165  87  15 165 117  87  15  87 103  15  45  87 134  24
 174  24 117 174 117 112  24 124 112  24 112  24  38  24]",[ 24 117 174 117  24  69 124  28]
5422.0,"[  1  78   9 136   9  16  78  50  54  50   1  78   9 136   9  16  78  50
  54  50  10  78  50 136  50  10  21   7 166 159 166   7]",[ 53  16  36 115  53 166 179  80]
5423.0,"[ 71 144  71 123  71  71  71  88 165  49  14 129  14  14   5  71 123  54
 123  54 129  14   8  73 129  14  88  14  14   5 144  71]",[ 71  14  88   9 178 151  88  73]
5424.0,"[128 123 136 165  82 136 128 123 136  13  35  35 103  14  35  13 105  35
 160  14  35  13  46  82 152  35  91 165  46 159 152  91]",[ 13 159  46 103  14  35  17  46]
5425.0,"[127  73  26   9 126  63   9  26  73 127   9 127  37 127   9 127  73  26
   9 125  63  91  26  78  53  50  53  54  53  50  26  73]",[ 14  53 123  53  14  26  37  53]
5426.0,"[ 49 155  49 158 116  24 132   5 110 156 110 157   0 178  37   8  93 110
   8  93   8 110  51 100 100  51 178 126  57 178 126 178]",[129 132 132 129  88  73  49   0]
5427.0,"[119  26  36   7 111  26 166   7 159 166  82 159  50  82 123  50  82 159
 123  50  82  10 159 123  50  82 159 123  50  82 159 123]",[162 100  70 177  70 123  50  35]
5428.0,"[ 80 170 144  62 136  91 144 136 170  91  80 144  62 136 170  91  80 144
  62 136 170  91  80 144  62 116  99 116 116  88  97 127]",[127  97 127  97 127  97 127  97]
5429.0,"[179 151  46 165  94  73  82 151   9 165  91  54  82  14   9  14 165  82
   9  94  46  91 179 180   9 105 180  82 105 179  91 105]",[ 82 153  97  91   7  97  14   7]
5430.0,"[103  80  14  60   9  50 100  35 159 111 166  97 162  53  26  26  18  26
  78  76 109  26  78  18  26 109  26  78 127  36 109 127]",[ 78 127  26  74 153  78 128  26]
5431.0,"[  0   0   0   0   0   0  45   0   0 128   0 117   0   0   0 117   0   0
   0 117   0   0   0 128   0   0 117   0 152   0   0   0]",[117   0   0 128   0   0   0  60]
5432.0,"[ 87   7 105   7 105  46  82  87  46 105   7  87 105  46 105  46  82 105
  87  46  82  46  87  82  14  82  87  14  17  82  87  14]",[ 14  87  17 165  17  87 165 160]
5433.0,"[ 26 136  75  50  26   9  75 136  53  75  50  53 136  75  54  53 123 121
 144  53 121 144  53 121 144  53 121  71 115 121  94 115]",[ 94 115  83 159  63  83 123  63]
5434.0,"[ 13 108  93  93 131  13  35 108 154 154 131  13 108 154 154 131  13  35
 108 126 126 131  13  41 163 103  17  46  41 163 163  57]",[ 57 163 103  17  46  57 163 163]
5435.0,"[103  45  71 165  17 136  14  73  91 151   9 160  82 152 103  45  71 165
  17 136  14  73  91 151   9 160  91 152   9 160  82 151]",[160  82 151  94  73  82 151  94]
5436.0,"[ 13 162 159  17  80 162  17 145 166  70 123  50 180  70 136 123 123 136
  13  35 152 159 128   1  55  83   4  75  52 121  80   4]",[ 80   4  55  13 159 162  17  80]
5437.0,"[ 91   7  97  14   7 130  54 102 115  71  18 102  17 115  18  14 127   7
  28 160 103 134  54 117  14 160  91 151   9  73  35  13]",[165  35  13  82 165  46  17  94]
5438.0,"[ 49 161   5 137  29 177  78 177  78 177  78 177  78 177  73 174 165 134
 178 178 178 178  88  88  51  51  49  49 114 114 114 114]",[114  34   5  34   5  34  49  51]
5439.0,"[158  80 179   9 105  82 166  50  82 159 166 158  50  82 100 159 166 149
  82 166  66 159 105  80 179  82 159 123  50  82 159 158]",[ 50 100  82 159 149  66 159  66]
5440.0,"[177  37 150  37  11 145 174  37 172  37 128  37  96 121  96  96  21  75
  37 155 155  82 155 159 166  28   7  26 155  36  53 155]",[155  37  69  37  21 145 126  37]
