,x_val,future
862,"[ 70 167  73  88  29 129 140 165 165 149 165 149 165 149  37  66   8  70
 167  73  88  25  93  29 129  48 165  29 129  48 165 162]",[ 28 126 127  88 140 165   7  93]
863,"[ 11 119 173 173  66 105 127   3 127 139 102 155   3 155 173 165  95 155
  11 155 173  80 155  48 155 134  13 134  13  26  68  26]",[134  31 134  31 134  68 134  68]
864,"[ 76  86 127  76  86  20  51  86 101  51  86  20  51  86  97  51  86 117
  51  86  97  51  86  79 102  25 117 102  97  25 180 102]",[ 25  97  51  86 180  51  97  86]
865,"[107 125 122  88  49   0  95  95  95  95  95  13  17 175 143  17   6  84
  95 175   6  22  95  13   6   8  95  49   6 122  95  86]",[ 95   0  68  51 109  94  94  94]
866,"[ 68   8  51  95  46  51  46 122 108 124  18  93 124   9  95  51 148  95
 107  68  84  51 127   8 127  51 127 127  95 127  51 127]",[ 88  11 127  23 155 127 170 108]
867,"[ 29  25 122   3  29  25 105  29   3  11 127 155 173 141 180  97 158 153
  79 173 155 127  11   3  84 173 155 127 155 173  79 158]",[155 122 173  79 158 164  97 180]
868,"[110  37   3  71  66 119 140  71   7  37   3  80   3  71  29  83 146  71
  83  70 140  71  25  73  70 140  71 176   3  37  80   3]",[ 29  83 105  73 125   3 149  29]
869,"[148  38   6 141  22  95   6 141  22 145  95  52   6 141  22  52  95 145
   6 141  22 145  95  31   6 141  89  31  95  52   6 141]",[ 52  95  46   6  22 122  46  95]
870,"[138  84 109  46 113  89  54   8 167  88  54  85 165 149  37 150  66  70
  73  91  25  48   7  54 140 127  54  90  85 139  79 117]",[ 65 101 127  91  90 139  79  54]
871,"[ 80  27  22  66 105  66  49  22  80 165  80  81  22  80 105  80  81 171
   2 180  79  90  79 180 173  49 180 117 173  11  48  86]",[ 48  11  48  45  11 173 173  27]
872,"[  3  29  73  86 119  66 109  86 119  66  84 149 105 129  88  95 122  64
  95  88 129  51 149 105 129  88  95 122  64  95  88 129]",[149 105 129  88  95 122  64  95]
873,"[124  74  48  74 124  74 124  74 124  74 124  48  74 124  74  29  74 124
  74  73  74 124  74  70 114  53 142  29 142 178 142 140]",[ 21 142  90 142  53 142 158 142]
874,"[ 54  57   1  57  24  24   1  55   1 150  57   1  57  91 150   1  55   1
  91  57 138  57  91 138  55 138  78  57 138 162  57  54]",[ 55 138  24  57 138  28  57   1]
875,"[111 155 132 111 180 132 155 155 124 111 180 132 155 155 164 111 180 129
 155 155 132 111 158 132 177 158 132 177  35 133 158 158]",[177  35 132 158 158 132 177 117]
876,"[105  86   6  80  95 165  66 105 119  80   9  84  66   9  13   9  66  68
   8  86  68  14  86  97  22 119 171 117 144 180 119  97]",[167  25  83  25  12  80 144  80]
877,"[ 21 169  72 169  72 169  63 163 150 178  21 169  21 169  72 169  72 169
  63 163 150 178  21 169  21 169  70  21  21 169  60 150]",[169 169 178  99 178 169 136 150]
878,"[ 50  52  50  52  50  52  50  52  50  52 170 108 170 108 108 170 170 145
 145 133 133   4   4  96  96  46  46  96  96 108 108  82]",[ 71  71  33  33 104 104  33  33]
879,"[139  48  78  78  90 166 176  78 178  15 176   7 155 139 117 176  78  30
  15 176  78 178  65   7 149  21 129  88 140 167 132 137]",[119  70  48 140  90  70  37  60]
880,"[137 179 137 101 137  41 137 101 114 142 142 142 142 142 142 142 142 142
 142 158 114 124 132 124 132 124 132 124 132 124 132  29]",[62 56 62 56 62 56 62 56]
881,"[ 37 139  90  80 139  79  80   3 119 127   3   8 127   3  66 127  48  66
 140   3  66 127   3   8 127   3  66 127  79  66   3 140]",[  3  11  87   3 140  66   3 173]
882,"[173 173  17  97  97  79 180 180 173  17  97  97 173  45 117 117 173 158
 158 173  79  79  76 158 158  76  79  79 102 102 158 158]",[102  79  79  51  27 173 173 107]
883,"[174 122  12  93 107 125 122  88  49   0  95  95  95  95  95  13  17 175
 143  17   6  84  95 175  22   6  95  13   8   6  95  49]",[122  95  86 107   0  95  68  51]
884,"[144   8   3 144 155  22 166  11  55 166  48   8  54   9 125 148  91 148
  12  68  93  46  64 108 122  68  32  46  22 108 138  71]",[108 124 126  91 126  91  18   9]
885,"[ 29 105 127 173 127  29 122 127  79 155  25 122 155 173 127   3  95 127
 173  11  48  95  11 173 105 127   3 127  97  66 173   3]",[117  86 105 173  11 173 180 119]
886,"[ 67 119 109  73   3 105  67  18  52  18  18 104 158  65 158  65 158  65
 158  65 158  65 158  65 158  65 158  65 158  65 158  97]",[ 97 158  97 158  97 158  97 158]
887,"[ 27 107   6 179 171 156   0  23  51   6  13  27  23 110  43  27 107   6
 179 171 156   0  23  51   6  13  27  23 110  43  27 107]",[179  45 171 156   0  23  95   6]
888,"[ 25 150  48 150   7 140 150   7  48  90  57 127 140  79  78 139  78  90
  97  78 117  78  79 139 165  37  90 127 140  25   7  48]",[150  70 150  73  25 150  48 150]
889,"[ 29 129  48  78  70  48  37 167   7  98  29   7  70 167 140 178   7 140
  48 165 139 124 155 139 165 117 124 139 155 165  90 178]",[ 90  70 167 127  76 140 127   7]
890,"[129  83  71  83  71  83  71  83  71 154  68 154  83 154  83 154  83  62
  77  62  77  62  77  71  19 128  31  38 148  81 148 145]",[ 86  95  25  93  48 165   3 105]
891,"[140  11 136  11  80  11 136  11  80  92 136  11  80 140  11  26  11  80
  11  26  11  80  92  26  11  80 140  11  85  92  80  11]",[140  11  62  11  80  11  62  11]
892,"[155 125 122 149 122 155 125 122 149 122 173 125 122 139 149 122 140 125
  89 105  89 125  89 105  89 125  89 105  89   7 125  89]",[ 88  89   7 125 122 149 122 155]
893,"[ 86  38  58 158 132  97 180 132 101 111 124 129 101 180 124 129  97 158
  79 173 155 140  26 129  11   3  29  25  29   3  26 129]",[140 155 173  79 158 132  97 180]
894,"[105 149  80 149  70 104  25  46  88 104  93 148  15  46  63 108 167  68
  88 104 162 108 169 135 149 113 105 149  80 149 165  88]",[ 46 125 104  12 148  15  46  63]
895,"[128 128 128  49  49  11   3  48  25  22  86  22  70  66  22  80  22 105
 165  22 105  80  11  55   3  48  25  22  86  22  70  66]",[ 80  22 105 165  22 105  80 165]
896,"[ 11  48 180  55 139 155 117  95 173 155 140  13 101  97 173 140   3  86
  89  37 105  37  95  86   3 140  13 101  97 173 140   3]",[ 89  37 105  37  95  86   3 140]
897,"[ 37 173 165  37 139  55  66 127 165  66  20 165  66  65 165  66 158  55
  66  65 165  66   2 165  66 180 165  66 101  55  37 117]",[ 37 101 165 117  37 101 165 117]
898,"[165  73  88  66   8 150  41 150 156  70  41  25  70  25 140 156   7  25
  70  28  91  54 127  91 139 127 139  65  54 117 139 127]",[178  48 140  48 139  78  90 140]
899,"[ 80  66 119  93  66 119  70 105 119  70  86  70  86  73   8  86  73  25
 105  73  25  29  25  29  25 122   3  29  25 105  29   3]",[127 155 173 141 180  97 158 153]
900,"[ 86  29  37   3  42 105  85  37  25 105   7   8  91  63 140  89  60 146
 127 113  91  63 140 125  37 146  73   3  37 139  84  73]",[  3 140  73 155  55 119 107  73]
901,"[ 55  66   8  48  88 127  48  22  12  66   8  11 165  48  22  66   8  11
 165  25 113  66   8   7  93  66 170 127   4  81  71 108]",[170 170  76  76  50 160 170 162]
902,"[112  10 169  96 150 175 180   0 101  51  51  27  51  17  51 173 127   3
  48 136  48 171  25  29 175 175  49 175 107 143 175 180]",[101  51  51  27  51  51  13  17]
903,"[ 22 170  12  81  22 179  12 181  55 113 121  22 170  12 121  22  27  84
  27  84 164 122 164 122  28   8  28   8  87  93  87  93]",[ 43 170  43 118  69 136 174  25]
904,"[127 127  33 139 127   7   7 127   7  73  83  60  20 113 130  20  65  65
  33  20  65 139 139  65 139 127 127  33 139 127   7   7]",[  7  73  83  60  33  76 156 156]
905,"[ 11  22 127 113  90  55 173 141  90  55 127 113 118 151  90  55 127 113
 118 151  90  55 127 113 118 151  90  55 127 113 118 151]",[ 55 127 113 118 151  90  55 127]
906,"[ 51 109  94  94  94  94  94  94  94  94  94  94  94  94   3 109  57 114
 172   3  89  88  89  29 125  89  95  89   3 125  89  88]",[  7 125  89 129  89 140 125  89]
907,"[159  29   4   7  66   3  29 153 119 122  64 119 122 116 119 122  64 119
 122 119 122 132 141 122 124  29 122   3 122  84  25  30]",[  3   3 122  22  10 122  58 179]
908,"[ 95 105   8  80 105 161 165  22  93 165   6  22  51  13 127  84  66  86
  95 127 127  66  86  95 127  11   8  66  86  95   3   3]",[ 86  95  11   3  22 119  86  95]
909,"[ 73  88 149 176  73  99  73 155 176  73 140  88 149   7 119  73  29  88
 149 119  73  88 149 119  73  88 149 167  70 149 122 129]",[ 89  70  29  84 129 149  70  29]
910,"[ 25  90  22  93  80  93  70 173  90 127  25 113  93 173  66  93 158  86
  79  25  22  93  70  93  90  80  25  79 113  93  86  93]",[ 66  29 158 113 129  86 129 173]
911,"[146  18 102 135   0 176 135 102  71  17  14  18 179  18 179 153  10  41
 102 153  10  41 102 153  10  18 124 153  10 144  18 153]",[ 41 102 153  10 153  10  62  30]
912,"[ 93   8  50 165   8  33  80   8 170  12   8  93   8  93   8  76  93   8
  12   8  23  88   8 160  88   8 160  88   8  12   8  76]",[  8 170  93   8 170  93   8  12]
913,"[ 70 140  90 129 140 155  86  80 140  90 119 140 153  29  11 173  93  11
 155  37  70  11 158 119  11 180  70 111 173 129  97 101]",[ 80  35 111 119 101  97  29 101]
914,"[150  93  78  76  76  66   8  70 167  73  88  25  93  48 165   7 149 119
 122   7 149  70 167  11  80 116  82 116  82 116  82 116]",[  3  41 105 178  17  17  86  95]
915,"[ 55  95   6 165  55  95   6   4  88 129 178 165 149  37 178  76  70  73
  29 169  48   7 140  78 127  90 139 178 158 117 178  65]",[101  20   2 169 130 177  47  78]
916,"[101 180 124 129  97 158  79 173 155 140  26 129  11   3  29  25  29   3
  26 129  11 140 155 173  79 158 132  97 180 132 101 111]",[119  35 157 153 119 177  36 120]
917,"[ 56  19 132  53  26  53  26  68  37  71  89  52 145  53  26  31  68  68
  71  71  18  72 148  52  56  31  62  53  62 173  53 139]",[ 40 155 132 173 155  56  56  19]
918,"[ 29  83 146  71  83  70 140  71  25  73  70 140  71 176   3  37  80   3
  71  29  83 105  73 125   3 149  29   8 125   3 105  73]",[125   3 149  29   8 125   3 105]
919,"[ 62  62  62 124 170  93  93  93  43  93  93   7 174 179  93  93  43 174
  93  93 124 170 108  93  93  93  93  93  93  93  93 162]",[ 93  93 107  76  93  93  93  76]
920,"[ 26  84  26  26  89  45 134  49 125  49  49   6 134  45  26  84  26  26
  89  45 134  56   6  56  56 114  62  62  56   1  56  56]",[89 22 19 84 19 19 89 83]
921,"[ 83 122  83 122  83  25 122  83 122  83 122  83 122  83 122  83 122  25
  64   3  25  70   3  58 140   3  25 140  90 140   3  90]",[ 79  90 140  79  97  79  90  97]
922,"[ 29  11 155 148 119  29 148  11 155 108 119  29  52  11 155 119  29 145
  11  90  70  25  11  90 153  70  25 153  11  90  53  70]",[ 16  11  90  70  25  79  11 173]
923,"[126  28 126  54 126   8 150  78  54 126  54 126   8 156 169  91 126  91
 126 126  71  91  46 126  71  91   9 126  71  91   9 150]",[ 91 104  91  63  91  63  91  63]
924,"[125 141  55  84 113  84 113 131  42 125 169 141  55  21  84 113   4  84
 113  84 113  89   8 122 167  88 129  48 165   7 149 140]",[127  66 155 119  90  70 155 119]
925,"[ 68   8  86  68  13  86  46  22 119  46 175  46 119 117  18   6  80 175
  80   9  84  66   9  13   9  66 108  42  37  79 157 168]",[ 37 180  97 105 143 117 165  79]
926,"[111 180 132 155 155 164 111 180 129 155 155 132 111 158 132 177 158 132
 177  35 133 158 158 132 177  35 132 158 158 132 177 117]",[ 74  47  97  56  36 148  56  31]
927,"[ 70 141 119 125  37  42  73  55  70 141 119 125  48  22  29 113  73  55
  29 113  25  84  29 113   7 141   3  12   7 141 127   6]",[ 42 127   6 173 138  90   1 173]
928,"[ 40  89  40  88 165  89 114  95 129  37 129  95  89  95 129 122 114  88
 129  80 129  88 122  88 129  95   1 129  37  86 141  37]",[ 95 129  37 129   6 141  37  86]
929,"[165  66  76  95 165  66 178 167 165  37 106  70  66 149 137  48 165  78
 133 100  91  54 117  91  65 117  54 139 127  91 127  54]",[140  85   7 140 156  90  48  91]
930,"[139 140 165  90  11  55 155 140  88  90 155 141 139  11 129 155  90  89
 140   7 122  48  29 167  73  70 129 119  70  89  37  70]",[ 29  70  89  37  70 165  48 119]
931,"[  1  29   1  80  29  64   1  73   1  80  73 141   1  86   1  80  86  55
   1  70   1  26 141   1  12 141  55 141  12 141   6  42]",[  1 138  56   1   1   1   1  86]
932,"[ 95 179 122  93  17   8  95  17 141   8  95  69  43  93  93  93  93  93
 174 179 162  69 179  12  22  93  69  12  95  93 174  12]",[ 93 107 125 122  88  49   0  95]
933,"[ 91   7  91   3 127  88  91 140   7 139  76  90 127  79 139  90  97 146
 158 139  33  34 109  34 138   1  34  42 138   1  12 125]",[149 138 105   1 149 138  66 125]
934,"[108  18 145 145  46 145  46   0  68   9   9  71   9 148 108  68  68   9
  68   9  46  18 108 108  22 108   8  46  18 108 108  22]",[  8  46  18 108 108  22 108   8]
935,"[ 64 105 179 164  25 118 170  25 124 174  25 127   6  13  13  13  66   6
  13  13  13  66 155   6 107 107 175 124   7   6 151 151]",[149   6 151 151  95 149   6 151]
936,"[ 22  80  22 105 165  22 105  80 165 105  80 165  95 105  93  80 165 165
  55 105  84  80  22 165   6 105  12  80  55 165  57 105]",[ 80  32 165  57 105 109  80  32]
937,"[ 93  93  93  93  93  93  93  93  93  93  93  93  20  54 111  80  93  93
  93  93  93  20  69 180 119  93  93  93 126  73  93  93]",[180 170  25  93  93  93  86  93]
938,"[157 170 108 157  81 148 157 170 108 157  81 148 157 170 108 157  81  81
 180  11  79  25  90  70  11  80  25  93  70 167  80  22]",[ 12  80  22  70 167  25  93  11]
939,"[122  62  31  62  31  62  31  62  31  53 145  53  62  53  62  53  62 124
  40 124  40 124  40  31  56 128  31  38 148  81 148 153]",[ 95  38  95  38 145 153  95 153]
940,"[154  68  68 104 119  73   7 155 139  65 111  60 104  68 154  68  68 104
 119  73   7 155 139  65 111 145  68 135 135  46 135  68]",[ 86   3 127 173  97  20   0  68]
941,"[ 55  93  12 165  55 105  84  93  12 105  84  93  12  25  93  93  12  93
  12  93  12 121  64 138  93  32 138  93  64  32  93  64]",[ 87  12  93 172  93 172  93 172]
942,"[145  68   4  46   4  46 145 108 145 108 148 145  68 145  46 145  46  71
 108 145 108 145 145   4 145   4 145 145  71 145 145 148]",[ 68   4  46   4  46 145 108 145]
943,"[173   8  97  84  20   6  35 138  36 109 161  96  96 123 123  96  96  15
  23  21   4 166 145  21   4 166 145  21   4  49  49  43]",[136 148 118   9 136 148 118   9]
944,"[ 25 145   3  80  86  48  11   3  48  73 145  48  80  70  25  84   3  48
  25  86 144  48  11  48  22  11  48  11  29 175   7  48]",[48 22 11 48 11 48 99 11]
945,"[122  88 104 149  68 113 122  88  68 149  46  22 122  95  46  80 145  22
 122  95 145  80 134  89  95 105  37  89  95 105  68  37]",[ 89  95 105  31  37  68  89  95]
946,"[149  11  80 127  66  90  70 173  86  79  25 117  48  97   3  79  25  90
  70 140  37  11  80  48  80   6  22  95  22  95   3  48]",[ 80  42  22   3  93  22 140 105]
947,"[ 70  48  42 140  90   6 117 127   6  17   6  17 125  17 156  26  12  17
 110  17  22  17  24 151  24  24   0 179  17  51  51  48]",[ 11 173  78 117 180  51  35  97]
948,"[105 127  11   3  11 127 155  93 127 155  90 105 155  90 173  90 173 139
   8 173 139  79 105 139  79 158  79 158  79 122  97 158]",[105 158  97 180  20 111  35 141]
949,"[ 95  88 171 156  93  49   6 110  80   6  70   6  25  11  42  90  79   6
 180 173   6  95   6  95 125  95 156 167  12  95 110  95]",[ 95  16  88  16  16 156  93 175]
950,"[ 86  48  11 165 173  95 117  22 180  55  35   6  47  32 120  57   5   5
 147 147   5   5 176 104  99 148 176 104  99 148 176 104]",[ 28  78  46 151  68  78  46 151]
951,"[116 119  35 111 101 180  97 158 112  97  65 112 101 111 176 129 101  65
 176 129  97 158 139  90 155 140 178 129   7   3  29  25]",[  3 178 129   7 140 155  90  79]
952,"[127  11  91   7  91  48   7  69   7 149  11  80   7 149  25  93  70 167
  79  25  90  70   7 149  11  80   7 149  25  93  70 167]",[ 25  90  70 147 113   7 149 117]
953,"[149  91  91  33  28   8 165  28  91  28   8  28  28 165  28 170  91  28
  59  55 165 100  85 100  55  24  24 165  24  28  85 137]",[  8  88  28 126  55  24  24  93]
954,"[  3  22  29  81  25  86  89  25  26   3  25  89   3  70  84  25  86 144
  29  11  16 173 158  62  97 180 180 101 180  95  92  38]",[ 95 101 180  38 180  95  65  35]
955,"[115 131 131 115 131 131 115 131 131 115 131 131 115 136  27 109  27  27
  27  27  27  97  27  27  97  27  27 117  97  17  17 180]",[115  20  27  27  27  27  27  27]
956,"[ 80  86  29  84 129  80  86  29 113 129  80  86  29  84 129  66  86  29
 155 129  66  86  29 129  66  86  29  64 129  66 119  25]",[105 119  25   6  93 105 119  25]
957,"[  6  42   6 145  42   6  42   6  42   6  42   6   9  42   6  42   6  42
   6  42   6   4  42   6  42   6  42   6  42   6 148  42]",[42  6 42  6 42  6  9 42]
958,"[149   7  29 167 140  48  90  70 140  48  90  37 117  90  90   7 158  29
  90   7 158  70  65 158  90 140 117   7  90 140 117  48]",[117 117 139 180 117 155 180 139]
959,"[ 71  91  71  18   4   9   4   9   9  31   9  31   9   9  18   9   9  46
   9 108  31  71  31  71   9   4   9   4  46   9 108   9]",[ 9 71 18  4  9  4  9  9]
960,"[ 18 124  44  44  45  55  49  96  49  18  49  18  84 134  82  31  68 134
 148  19  31 134 145 125  67  72  18  18  67  31 148  67]",[145 134  46  68 134  31 148 148]
961,"[  1 142 142 142 142 142 142 142 142 142 142 142 140 142 142 142  29 142
 178 142  29 142 178 142  29   1 178 178 178 178 178 178]",[178 178 178 178  29 178 178 178]
962,"[ 18 145 170 170  25  25  25  25  25  25  25  25  25  25  25 133  29  29
  29  98  98  98  98  98  98  98  98  98  98 133  33  98]",[133 133 133  56  98  98 133  33]
963,"[ 20 149  20 149 127  76  86 140  76  86 127  76  86  20  51  86 101  51
  86  20  51  86  97  51  86 117  51  86  97  51  86  79]",[ 25 117 102  97  25 180 102  20]
964,"[145  58 108  18 132  10  62  53  62  53  62  53  56  53  56  53  56  53
  62  31  62  31  59  46  59  71  56  31 154  46 154  46]",[140  25  46 155 140  53   4  37]
965,"[173 141 140  29  86  29 140  29   6 141 140 173 158 141 173 140  29 140
 173 127  32 141 173 158 155 141 139 158 155 139 117  11]",[141 139  97  11 141 173 158  11]
966,"[169  21   4  96 163 136 150   4 163 136 150   4 107  90 163 136 155 150
   4  90 163 136 139 150   4  98 163 169  21   4 163 169]",[  4 163 169  21   4 163 169  21]
967,"[ 90 127 140   7  48  25  73  70  25  73 139 173 139 117  79 139 180  65
 117  79 139  90 139  90 127  11   7  48  25  73  48  25]",[ 73  25   7   3   7 127 140 127]
968,"[122   3 155  86  71   3 140 119 141  29  11  86 129  29 140  73  29 155
  86  89 129  29 140  29  86  37  86  37 129  95  53 129]",[ 86  37 129  95 129  37  95  53]
969,"[ 84  20  51  84  20 166  95 180 166  93 180 165 166 105 180  80  51 105
  20  51 105  20  51 105  20 166  86 180 166  25 180  48]",[  3 180  11  51   3  20  51   3]
970,"[ 89   3  93  66 127   6   8  95   8   3 105 119  48   6  95 139  80  95
 173  80  86 155  84  95 105  95 127  66  80  48 138   8]",[ 88   8 127 165  11  66  12   8]
971,"[ 71  59  46  59  46  59  31  59  88  72 148 147  18 147  18  72  71  72
  71  72  46  72 148  74  52  74 148  74 148  74  18  74]",[ 74  52  74 148  56  31  53  26]
972,"[ 90 105 155  90 173  90 173 139   8 173 139  79 105 139  79 158  79 158
  79 122  97 158  79 105 158  97 180  20 111  35 141 120]",[177 153 157  35 111  20 180  97]
973,"[ 13  27   6  45  45 122  45  27 175  49  27  84   8  27  13  27   6  45
  45 122  45  27 175  49  27  84  84 109  84 109  84 109]",[109  22  32   8 138   9 138   9]
974,"[ 29 169  48   7 140  78 127  90 139 178 158 117 178  65  76 101  20   2
 169 130 177  47  78 177 130   2 178  20 101 178  65  76]",[158 139 169  90 127 140  78   7]
975,"[  4  21  86  49  25  48   3  11 127  90 173  79 117  97 148 136 104  17
 148 136 104  17 148 136   7  11 127  90 173  65  20  35]",[ 96   3  27 127 173  97 127 173]
976,"[ 69  95  12  93  93  95  93  93  95  93  93 174 122  12  93 162   8 179
  22  12  93  93  69  95  12  93  93 174 122  12  93  93]",[122 125  88  88  49 122   6  95]
977,"[ 13 151   3 102 179   3 102 132  52  21  11  31   7   3  21  31 132  52
  21  11  31   7   3  21  31 123   9 123   9 123   9 123]",[123   9 137  31  39 104 178  46]
978,"[ 89 144  11 122 140 144 155  22 173 155 153 140  11 122 140  11 153   3
  29  22 153   3 122  11 153 155  89 140 144 140 122 155]",[144  11   3  89 155 144 173 122]
979,"[108   4   4 108  42   4   6  42   6  42   6  42   6 145  42   6  42   6
  42   6  42   6   9  42   6  42   6  42   6  42   6   4]",[  6  42   6  42   6  42   6 148]
980,"[136  48  11  51  48  11 107   3 127  25  90  48 173  86  48  11 173 107
  86  48 144  11 173 174  48 173 175  11  90   3 127  48]",[ 80  86  48  11 107  80  86 144]
981,"[119 125  73   7 155  63 111  65 139 155   7  73  64 119 149 119 125  73
   7 155  34   7  73 139  88 119   7  73  79  90  37   3]",[139 140  70   3  73 155 113   7]
982,"[ 90  11  70  22  11 127   7  25   8   7 127  48  73   8  48 127  93   7
  25   7  79 149 127  25 127 139  66  93 127  48 127 117]",[127  48 127 127 149  93   7  25]
983,"[150 150 150 150  91  91  91  91 150 150 150 150 150 150 150 150 150 150
 150 150  54  54  54  54  41  41  41  41  91  91  33 104]",[104  33 104  33 104  33 104  63]
984,"[148 136 148 136  70 148  76 148  76  70 148 107 148  96 148 162 148 162
 148  28 148  28 148  28 148  28 148  28 148  28 148  28]",[ 28 148  28 148  28 148  28 148]
985,"[ 35 180 155 117 173 180 117 180 155  35 180 117 173 180 117 180 155  35
 180  97 173  20  97  20 127  35  20 158  90  65 158  65]",[  2  65 117 140 101 117 101  90]
986,"[ 70  37 105 105  75  37 105  93  37  75  70  37 105 105  37 105  93  37
 119  37 105 105  37 105  93  37 119  37 105 105  37 105]",[ 37 119  37 105 105  37 105  93]
987,"[167  55 167  52  37 167  71  55 167   4  37 167   9  55  88  66  88 139
  55  88  66  88   7  55 167 129 167 140  55 167 127 149]",[140  55  37  90 165  37 101 165]
988,"[122  95 101  93 180  97  35 179 111 179 101 180  10  97 158  79  80 173
 155 140 102  11   3 173 179 155 140 132 141  84  22  89]",[ 95 101  93 180  97  35 179 111]
989,"[ 65 117 158 139  90 127 140   7  48  29  48 165  37  89   7 149  70 167
  70 167 140  37  48 165  48 165 139  73 155 119 139  73]",[119  90  70  70 167  70 167 127]
990,"[148 143 148 174 148 143 174 136 143 136 124 143 124  23 124  23 148 148
 148  23 148 124  26  62  10  53 145  53  10  62  52 121]",[ 12  12 170 108  12  12 121 148]
991,"[ 76  69 162  69 174 126  69  76  69  76  69  76 174 126 162  69  69 162
 162  76  76  69  76  69  76  69  76  69 176 135 176 135]",[135 176 135 176 135 176 135  76]
992,"[143 139  62  89  62  26 139 175  22 175  45  13  84  97 134  62  95 143
 153  22 144  62 143 144 153  22 140  16 136  90  38  95]",[ 38  95 143  14  95  29 143   3]
993,"[104 104 149  34   7 113 149  34   7 113 129 114  29 141 129 114  29 141
 149  34   7 113 149  34   7 113  70  42  90 167  70  42]",[167  29 141 158 129  29 141 158]
994,"[ 66  55  80 138  66  55  70  22  66  55  80 138  66  55  73  22  66  55
 104  12   7   7   7   7   7  11   7   3  48  52  42 113]",[ 52  52  42 113  52  52  52 125]
995,"[122  88  52 129  56 141  89  95 129 141  89  95  31 129 145  55  89  95
 145 165  31  84  89  95  31 105 148  22  95 129 148  80]",[ 89  95 129  68  37 148  22  95]
996,"[124 122   3 122  84  25  30 122   3   3  22 122  10 122  58 179 124  10
 119 122 124 122 125 124 122  83  83 122   6 107 122  83]",[ 83 178 153  18 144  30 153 132]
997,"[ 88 122  66   8  95 105 141  95 125   3   6   3  18 105 119  73 119 105
 119 105 119  73  64 119   6 105 125   3 125 105 119  73]",[105 119 105 119   7  73 125 119]
998,"[ 51 165 173  93 166  95 173 166  95 173 166  95 173 166  88 117 166  73
 117 166  73 117 102  25  97 102  93 117 102  93  79 151]",[173 171 151 173  55 151  84 173]
999,"[ 80  22  66   8   3 105 127  66  11  80   3 105  86  95  66   8 105  84
  66   8 105  84  66   8 105  84  66   8  11  80 127  66]",[ 80  48 165  73  88  66   8  80]
1000,"[155   3  25   3  37 155  80 129 158 155  11  11 119 155  11  29  11 180
 122 141 111 180 158 158 129 180 158 155 158  93 101  95]",[ 35 101 158 158  37 101 158 173]
1001,"[175   6 110  80   6  37   6  70  48  42 140  90   6 117 127   6  17   6
  17 125  17 156  26  12  17 110  17  22  17  24 151  24]",[  0 179  17  51  51  48  51  11]
1002,"[129 141  95   1 129  37  86 141  37 129  95 129  37 129   6 141  37  86
  29 141  86  37 129  37  86  66  32 141  86  29 119 141]",[ 29 119  73  48  80 114 141  73]
1003,"[ 20 101  20  35  27  20 180   8  97 110 122  97 180 164  20 111   2  35
 164 130 156 167 156 116 156  36 116  23  11  93   7  11]",[ 97  79 173  95  90  27 173  97]
1004,"[ 93  65  25  65  17  65  25  65  93 180  25 124  25 111 180  93  65  25
  65  17  65  25  65  93 180  25  44  73 111 180  95  97]",[ 97  66  97  86 180  93  97  70]
1005,"[157   2 180 136  79  90 136  11  20  69 157  35  65  12  79 173  12   7
  20 138  47  35  20  17 117 173  17 127 101 150  47 157]",[ 55 117  79  55 140  35   6 120]
1006,"[117 102  97  25 180 102  20  25  97  51  86 180  51  97  86 117  51  79
  86 173 166  86 173 166  86 173 166  86 139 166  73 130]",[ 73 130 166  73 157 102  25  79]
1007,"[159 159 159 157  35 159 159 159  38 159 159 159 159  79 173 159 159 159
  38 159  14  92  35 159 159 159  38 159  86  80  86  38]",[86 80 86 80 86 80 86 80]
1008,"[ 54  54  54  54  41  41  41  41  91  91  33 104  33 104  33 104  33 104
  33 104  63   9  28   9  28  71 137  46 145 145 145 145]",[145 145 145  48  54  54  91  28]
1009,"[ 80 119  80 119  29 149  66  29 158  80 119  29 180  18 129  80  29  18
  80 119  29  18 149  66  29  18  80 119  29 145  37  86]",[108  37 119   3  52  80 119  29]
1010,"[111  10  80  20 166  86 180  43 166 180 167 166  95 180  51 105  20 171
  51  20  55  51  84  20 166   6 180 166  12 180  55 166]",[180  22  51  84  20  51  84  20]
1011,"[ 80  37 119  37 119  70 158  73  70 119  90  70 139  79 139  79 117  79
 117  65 180 119  70  73  70  73  25  65  48  25  73  20]",[ 73  29  73  29  48 101   7  48]
1012,"[126  91 126  91  76  69  76  69  76  69 126  91  69 131  28   9  28   9
  28   9  28   9 131 126  91  91  54  54 126  54 126  54]",[ 54 126 146  83 146  83 146  83]
1013,"[108 136 174  76 108  69 162 136 174 136 174 118  69 118 108 136 174  76
 108  69 162 136 174 136 174 118  69 118 108 136 174 118]",[118 108 136 174 136 174 118  69]
1014,"[105   8  25 149 122 119 165  70  29 129 167 119  88  37 167 119  88  70
  29 129 119  93  29  70 129  37 167 119  29 141  88  37]",[ 80 122  78 167 119  29  88  37]
1015,"[ 87  79 168 168 173  16  90  16 173 173 117  79 173 180  97 117 111  20
 180 157  35 111  20 180  20 111 111 180 130  35 111  20]",[ 20 111 111 180 157  35 111  20]
