,x_test,future
2010,"[ 10 122  58 179 124  10 119 122 124 122 125 124 122  83  83 122   6 107
 122  83 178  83 178 153  18 144  30 153 132 155 122 132]",[122 124 158 122  97  84 122  30]
2011,"[143 173  29 180 143  25  11 136  25  11 136  25 153 129  80 155 153  37
 155 153  80 155  62  89 105 158  62  95 158  62  93 158]",[153 122 129 155 153  93 155 153]
2012,"[172 167  12  83 172 167  12 178 172 105  12 178 172 105  12 178 172 105
  12 178 172 105  12  99  12  37  93  99  12  37  93  83]",[ 70  93  83  12  70  93 178  93]
2013,"[ 55  12 125  12 125   5  42  32  34  32  32  34  32  32  34  32  38 161
 113  89 113  55 113  55 141  55 141  28  28 127 140 127]",[ 90 127 117  79 139  90  28 127]
2014,"[112 155   7  29  29   7  29 119 144 102  65 141 111  65 158 158 112  65
 158 155 155 158 155   7   7 112 155   7  29  29   7  29]",[144 102  98 112  67  67 111 113]
2015,"[117 126  20 117  90  70 117  90 117  78 101 117  90  70  65 158  90  98
 127   7  25  93  48 165  25  93  70 167  37  89 165  55]",[ 12 165  55  93  12 165  55  93]
2016,"[ 93 116  70  93 116 105  93 170  12  93 149  93  66  93 149  93  86   5
  70  86 162  25  22  93  81  80  93  69  70  93  81  80]",[138   8 170  93   8  91 149   8]
2017,"[  3  80  70   3  11  80  70   3  11  80  70   3  11  80 174  70   3  11
  80 174  70  38  11 174 174   3  29 129  22   6   3  25]",[ 86  73 119  85  86  37 141  95]
2018,"[ 46 115   9   9 148  68  87   9   9  68  46 115   9   9   9   9  87 108
  46   9  68  46 115   9   9  46  46  96 148   9 148   4]",[ 98   4  21 148 148  46  46   4]
2019,"[122 149 122 155 125 122 149 122  29 125  89  95  89   7 125  89 129  89
   3 125  89 105  89  71 125  89 105  89 125  89 145 105]",[ 18 125  89  31 105  89 104 125]
2020,"[ 48 150   7 140 150   7  48  90  57 127 140  79  78 139  78  90  97  78
 117  78  79 139 165  37  90 127 140  25   7  48  25 150]",[150  73  25 150  48 150   7 140]
2021,"[105 119  70  86  70  86  73   8  86  73  25 105  73  25  29  25  29  25
 122   3  29  25 105  29   3  11 127 155 173 141 180  97]",[153  79 173 155 127  11   3  84]
2022,"[ 37  70 140  93  70  37  70  93  70   7  37  70   3  93  70  37  70 146
  88  70  37  70 146  88  70  37  70  63  88  66 149  66]",[ 88  37 105  37  33  88  66 149]
2023,"[ 11  80 127  66 179 122  25 105  17 105  86  66  75  68  75  68  75  68
  75  68 100   3  68  17  86  95  25  93  48 165   3 105]",[ 80 127  66 155 119 173  86  79]
2024,"[134 109 134 134  84  89  22  19  84  19  19  89  83  38  22  38  38  32
  81  81 132  22 153 119  83 119 122 164 164 132 141 124]",[125  48 124   6  45  45  26 105]
2025,"[122 132 164  58 164  30 164 132 164 132 164 132 132 132  58 132 129 132
 132 132 132 132 132 164 132 164 132 164 132 164 132 164]",[132 164  58 164  30 164 132 164]
2026,"[ 93  29 129   3 105  11  80 140  37 155 119 173  86 155 119 140  37  11
  80   3 105  29 129  25  93  86  95 119 122  37  89  80]",[105  84 129 141  29 129  11  80]
2027,"[ 98  89 140  37 125 140  89 146 105 140  37 140  88 146 105 140 119 113
 155  98 129 155 119 122 155  98 129 155  29  22 129 158]",[ 80 158 103 119 129 158 124  73]
2028,"[ 73 129 139 119 124  80 139 119  25  93  79  70 136  80  79  70  25  93
  79  86  76  66  79  86  11  80 180  25  85  70 180  25]",[129 180  73 135 119 180  73  11]
2029,"[ 54  25  85   7  48  25 165  73  70  11  80 127  66  11  80  48 165  73
  88  66   8  80  22  66   8  80  22  66   8  80  22  66]",[  3 105 127  66  11  80   3 105]
2030,"[ 29 108  37 119   3  52  80 119  29  18  80 119  29  18 105 119   3  31
 105 119  25  31 129 119  29 148 129 119  29  97  37  29]",[101  86  29 140 180 119  29  11]
2031,"[  2   2  38  65  65  65  20  81 180 180  90  79  89 144 173 173 173 173
  22 144  90  90  90  90  38   7   7   7 127  81  11  11]",[11 90 90 90 90 39 29 29]
2032,"[113 147 135  65 149   7  34  34   1 135  65  34 113 149   7 117  21   1
  89  37 140   1 142  64  42  72 125 140  73  78  88  73]",[ 70  29 140 114 141   7 129 158]
2033,"[ 25  84   3  25 144   3  70  16  25  86  62  29  11 173 158  97 180  95
 180  38 101 180  95  92  38 180  95 101 180  38 180  95]",[ 35 133  65  35  95  65 180  22]
2034,"[  7  29 129 119 149   7  10 141 149 119  29 119 149 119 149 119  29 119
 125 149   7  42 149  70  29  70 149  70 149  70  29  70]",[  7  64 149 119  73 119 149 140]
2035,"[158   7  90 139  15 155  21  29  73  88 129  29  70 167  29 119 122  29
  70  89  37  70  22  29  70  89  37  70 167  48 119  22]",[119 122  48 119 129  80 119  22]
2036,"[  3  29  95 174 136  11  62  95 143  11  62  95 143 139  62  89  62  26
 139 175  22 175  45  13  84  97 134  62  95 143 153  22]",[ 62 143 144 153  22 140  16 136]
2037,"[ 55  48  55  37  48  55 140  55  48  70  55 140  70 140  93  90 140  70
 165 140  70 140  25  90 140  48 165 140  48 140  25 117]",[140 165 117 140 117  25 101 117]
2038,"[158  93 149  79  66  79  93  80  79 119  79  93 149  66  93  80 119  36
 177  93 149 157  66 157  93  80 157 119 157  93 149  66]",[ 80 119  25  29  93 149  25  66]
2039,"[179   1  26  26  26 124  26  26  83  26 153  64  10  10 124  64 179 179
  83 153 141 132 132 132 132 132 140 132 132  11 132   7]",[132  11 132 180 173   1  97 117]
2040,"[ 83 140 122  79 140  79 101 144  11 122 158  11 158 180 153 111  22 120
 111 120 101  89  36 101  36 134  97 122 157  97 157  36]",[ 11  42  79  11  79 180  81  11]
2041,"[125   8 125   8 125   8  25  84  12  66   8 105  93  25  84  66   8 105
  93  73  55  66   8 165  88  48  22  12  66   8  80 165]",[ 22  66   8  80 165  25  84  66]
2042,"[ 55  37  25  70 165  89  70  25  70 165   8  70  73 167  66 165  88  66
  70  12  66 149  66  73  55  37 165  37  66 165  88   8]",[ 70 149  93  12 149  73  80 165]
2043,"[ 84  66  86 173 149  86  29 127 129  86  29   7  95  86  29   7   8  86
  29   3  86  29   3 105  86  29 105  22  86   8  29 122]",[119  73 105 119  86 141 129 149]
2044,"[167  80  22  25  93  90  70  90  70  11  80  25  86  70  80  93  80  70
  25  85  12 181  55 113  81  22 170  12  81  22 179  12]",[ 55 113 121  22 170  12 121  22]
2045,"[ 57  55  78 167 169 129  78  88  54  89  53 167  54   8 138  54  57 138
 125  73 138   1  76  34  76  88 154 105  76 149 113  76]",[113  76  88 154 165  76 129  98]
2046,"[155  88 149  37  73  88 105  37  73  88 105 113 119  73  89  88 149   8
 119  73 125  88 149  66  73  88 149  66  73  88 149  37]",[ 88 149  37  73  34  88 149  37]
2047,"[148  66 105  68 129 105   4  84 105 108 129 105 145  66 105 129 105  84
 105   9 129 105 148  66 105  68 129 105  68 122 105  52]",[105 108 119 105  93 105  12 149]
2048,"[146  53  62  53  86  53  29  19  53  62  53  62 153  66 135 153 135 153
  62  53 135  26  53  62  53  86  53  29 146  53  62  53]",[ 53  29  19  53  62  53  62 153]
2049,"[119  86  25  29   3  11 140 155 173  79 132 141  84  22  89 122  95 101
  93 180  97  35 179 111 179 101 180  10  97 158  79  80]",[155 140 102  11   3 173 179 155]
2050,"[ 17   3  48  86   3  11   0 127  86   3  51 108 108  20 180  93  65  25
  65  17  65  25  65  93 180  25 124  25 111 180  93  65]",[ 65  17  65  25  65  93 180  25]
2051,"[ 11  80  11  32  80  22  11  32  80  22 144  32  62  22  85  62  32 144
  85  22  32  22  11  32  80  22  11  32 140  22  37  32]",[  1 153  89 144  62   1 144  62]
2052,"[173  29 127  48 139 127 139 165 117 139  48  25  90  48  90  70  79  90
  48  73 127  48 127 165 139 127  48  70 140  48  37 140]",[ 90 140 165 139 127 117 139 117]
2053,"[ 21 142  21 142  21 142  21 142  21 142  29 142  21 142  48 142 150 142
  29 142  21 142  48  32  54  74  54  74  54  74  54  74]",[74 29 74 40 74 40 74 40]
2054,"[ 81  11  90  79 180   2 157 120   5  48  49  11 173 117  11  72 155 117
 180   7   5  90  79  65  48  11 139 117  25   5   7  90]",[ 73 147   7 155 139  70 167  73]
2055,"[ 10 124  13  30  10 124  13 155  30 155 155  41 102  41 102  10 124  13
  30  10 155 124 155 155 119 124 119 124  86  30 119 124]",[155  30 119 124 119 124 124  18]
2056,"[ 98 149 140  37 140  98 129 140  37  95 140  98  89 140  37 125 140  89
 146 105 140  37 140  88 146 105 140 119 113 155  98 129]",[119 122 155  98 129 155  29  22]
2057,"[ 97 158  97 158  97 158  97 158  97 158  97  79 122  97 158  79 105 173
 155 127  11   3  29  95  25  86 119 105  66  80 105  80]",[119  93  66 119  70 105 119  70]
2058,"[ 16 180 180   3 164 140 140   3 164  11  11  85 164 140 140  85 164  11
  11  10  10 140 140  10  10  11  11 179 164   3   3  17]",[  3 154  73  97  97 154 119 117]
2059,"[ 57  91 138  55 150 138  91  57 138  57 138  55 138  54  57 138  57  24
  34 138  32  28  28  32 138  32  54  57 138  57  24  34]",[ 32  28  28  32 138  32  50  57]
2060,"[ 55  42  57  42  55  57  55  57  55  42  57  42  55  57  55  57  55  42
  57  42  55  57  55  57  48  55 165  37  70  48  24 165]",[165 140  37  70  48 140  24  37]
2061,"[ 10 102 179  13 151   3 102 179   3 102 132  52  21  11  31   7   3  21
  31 132  52  21  11  31   7   3  21  31 123   9 123   9]",[  9 123   9 123   9 137  31  39]
2062,"[121  64 138  93  32 138  93  64  32  93  64  32  87  12  93 172  93 172
  93 172 118  52  90 104  90 128   9 127 128 145 127 115]",[175 126 175 126 175 126  99  69]
2063,"[ 23 146  23 146 124 174 124 174 124 174 136 153 136 153 136 153 136 153
 136 153 136 153 136 153 136 153 136 153 143 153 143 153]",[153  44 107  44 107  44 107  44]
2064,"[ 98  18 144 146  18  98  10 146  18 146  18 102 135   0 176 135 102  71
  17  14  18 179  18 179 153  10  41 102 153  10  41 102]",[ 10  18 124 153  10 144  18 153]
2065,"[178 153  18 144  30 153 132 155 122 132 122 141 158 124 122  97 122  84
  30  79 122  97  97 122  22  10 122  58 179 124  10 155]",[124 122 125 124 122  83  83   6]
2066,"[177 111 180 111  73 177  37  86 177  35  35  29 177  35 101  35  86 177
 119 129 120 177 111 111  29 177 111 180 111  73 177  26]",[ 35  35 177  35 101 101  35 101]
2067,"[ 31  18  31  31 125  19  19 105   3 138  68  68  64  67 147 104  42 148
  31 145   6 134 134  31 148  49  49  49 148  55  49 145]",[ 46  49 115 148  49 148  84  72]
2068,"[104 167  66 129  66 117 104 155  90   9  48  48 148 119  70 165  97  31
  90 173   4   3   3   9  70  86 105 101  18 139  79 145]",[140   4  73  25  37  20   4 158]
2069,"[ 78   7 167 158   7 158  65  98 140 167 117 140 117 101  78 127 167  65
 127  65  20  76 180 132 111 180 132 111 177  18 153 157]",[ 18 153 111 101 180  97 158  79]
2070,"[ 29 119 141  88 119  22  29  37  89 167  37  70 141   1 141  89  37  55
 167  37  70  42  57  42  55  66 125 165  66  73  73   8]",[ 88 127 165 139  66 117  73 127]
2071,"[113  66  63  73   7  66   7 140  12  70  93   7  90  42  70 167   7 140
  12  70  93 127 113  66  63  73   7  66   7  34 149  33]",[ 73 149   7  34 149  37  25 149]
2072,"[148  84  23 107 171 107 153 171 153 174 153 174 148 143 148 174 148 143
 174 136 143 136 124 143 124  23 124  23 148 148 148  23]",[124  26  62  10  53 145  53  10]
2073,"[ 42   6  42   6 148  42   6  42   6  42   6  42   6   9  42   6  42   6
  42   6  42   6 104  42   6  42   6  42   6  42 141  46]",[  4   4  18  18   4   4 136   4]
2074,"[145 170 104  43 148  81  90 173  90  11 126  11  48  70  70 107 167  98
  95 123 167 113  42 123 167  85  11 167   7  95   5 167]",[ 81  80  25   7  17 173  90 136]
2075,"[ 73  82  12  89 167  93  82  93  37  82  70  25 141   8  95 129  44 165
 119  44  73  48 100  84 167  93 105 149  86  29   7  72]",[ 88  72 165  80 168  89  93 168]
2076,"[ 70  25   3  66 105 138  66  86  48  66 165   6  66  70  48  37 165  55
  37  25  70 165  89  70  25  70 165   8  70  86 167  66]",[95 66 70 93 80 93 80 66]
2077,"[145  51  68  51  13  51  13  17  17  17 178  17  51  84  95  51  51  51
  84  51  51  95  51  78  51  51  17  55  95 124 124 124]",[ 45  45  95  45 124  45  49   6]
2078,"[ 84  22  95  13  84   8  95 143  84 122  95  17 167  84  95  95  95  95
  95 148  86  84 122  68   8 143   6 122  95 143   6 122]",[143   6 122  95  68  86   6   8]
2079,"[ 97 101 111 101  97  65 141 111  65 158 158 112  65 158 155 155 158 155
   7   7 112 155   7  29  29   7  29 119 144 102  65 141]",[ 65 158 158 112  65 158 155 155]
2080,"[ 95  29 143   3  29  95 174 136  11  62  95 143  11  62  95 143 139  62
  89  62  26 139 175  22 175  45  13  84  97 134  62  95]",[153  22 144  62 143 144 153  22]
2081,"[ 93  90 140  70 165 140  70 140  25  90 140  48 165 140  48 140  25 117
 140 140 165 117 140 117  25 101 117  28   9 126  91 126]",[126  91 126  91 165  66 125   8]
2082,"[154  84 135 113 154  84 135 113 154  84 118  53 118  53 118  53  26  53
  26  83  26  53  26  83  26  53 146 154 146 154 146 154]",[165  61 165  61 165 149  24  37]
2083,"[ 25 180  11  90 180  70  25 101  11  90  70  25  89  11 173  86  29  11
 173  86  29 117  11 173  86  65  29 101  11 173  86  29]",[140 173  86  29 140 173  86  29]
2084,"[173 155 127  11   3  84 173 155 127  11   3  29  25  86 119 122  86  25
  29 164   3  11 127 155 173  79 122  97 158  79 105 173]",[127  11   3  29  95  25  86 119]
2085,"[ 48 178  48 178  48 178  48  30 144  30 144  30 144  30 164  30 164  30
 164 124  10 124  10 124  10 124  10 124  10 124  10 176]",[ 11  29 119  80 119  29  11 155]
2086,"[ 46 143  46  46  68  66  86   3 127 173  97  20   0  68  46 143  46  46
  68  66  86   3 127 173  97  20   0  68  46 143  46  46]",[ 66  86   3 127 173  97  68  20]
2087,"[167  10  42 158 167  10  42 158 167 151   6 158 125 151  12 158 141 151
  55 158  84 151 113 158  22 151  89 158   8 151 122 158]",[151   4   4   4   4   4   4 164]
2088,"[  7   7  29  90 155  70  90  90  70 117 158 136 117   2 131  90 158 169
  90  90 169 117 158 136 117  79  86  25   7  66  25  25]",[ 11   7  70  11 140  37  92  92]
2089,"[ 55 165  55  93  12 165  55  75  68  75  68  75  68  48 165  48 165  48
 165  25  93  48 165  27  13  27  13  27  13  17  17  17]",[ 17  17 178 178  17  17  51  51]
2090,"[149   7  88 149  65  88 149 158  88 149 173 125 149 158  88 149 101  88
 149 117  88 149  97 125 105 139  88 105  97  88 139 105]",[ 88 139 105 140 125   3 105 140]
2091,"[ 95  45 124  49  27  84   8  27  13  27   6  45  45 122  45  27 175  49
  27  84   8  27  13  27   6  45  45 122  45  27 175  49]",[ 84  84 109  84 109  84 109  84]
2092,"[41 46 41 46 41 46 41 46 41 24 41 24 41 24 41 24 41 24 41 24 41 24 41 24
 41 24 41 24 41 24 41 24]",[ 27  17  27  17  27  17  13 105]
2093,"[ 34  34   1 135  65  34 113 149   7 117  21   1  89  37 140   1 142  64
  42  72 125 140  73  78  88  73 161  70  29 140 114 141]",[129 158  80 114  54 172 114 142]
2094,"[ 80  32  86  25  70  80  32  70  48  86 119   6  86   3  25 119  95  25
  11  48 119  95  48  11  48 119  95  48  11  48 119  84]",[127   3  66  84   3  11  48  86]
2095,"[ 88  86 105  73 125 117 105  97  88 173 105 139  88 173 105 139  88  11
 105 140  88  11 105 140  88  48 105   3  88  48 105   3]",[ 86 105  73  88  86 105  73  88]
2096,"[ 37  70 140  93  70  37  70  93  70   7  37  70   3  93  70  37  70 146
  88  70  37  70 146  88  70  37  70  63  88  66 149  66]",[ 88  37 105  37  33  88  66 149]
2097,"[101  25 119  29 180  29 119 127 129 119 173  80 119 155  29 119  80 119
 129 119  11 111  80   3 119 101  25 119  29 180  29 119]",[122 119  11  37 119   3  25 119]
2098,"[  8  73  48  73  80  12  73   7  25 149  12  25  48  73  66  55  73  48
  70  37  55  70  48   8  73  66  73 127  88  48  66  48]",[165   8  48  70  48  90  93  48]
2099,"[119 117 117  26  29 158 158 124  29 158 158 178 141  29  29 124 141  29
  29 124  55  73  73 124  55  86  86 124 165 173 173 102]",[ 79  79  51  84 173 173  51  22]
2100,"[ 89 173 155  89 155 154 140  89  11   3  89  56 158  56  26 139  89 173
 155  89 140  19 154  19  89  19  89  19  89  89  19  89]",[ 86  53  29  73  89  86  89 119]
2101,"[ 29  80  11  29  11  29 148  11  25   7  29 145  11  29  11  29 145  11
  48 155   3 140   3 140   3 145 140 140 173   3 140  29]",[ 25 145 140  29 140  29  11  29]
2102,"[ 28 148  28 148  28 148  28 148  28 148  28 148  28 148  28 148  28 148
  28 148 147 104 147 113 147 113 147 113 147  15 170 162]",[23 69 76 69 76 69 76 69]
2103,"[139 158 155 141 139  97 155 139 180 140   1 141  90 101 155 141 139 111
  90 158   2 139 117 130 158 125  65 177 117 101  47 158]",[  2 177 117 167 130  47  65 177]
2104,"[ 55  80 138  66  55  70  22  66  55  80 138  66  55  73  22  66  55 104
  12   7   7   7   7   7  11   7   3  48  52  42 113  52]",[ 52  42 113  52  52  52 125 104]
2105,"[ 66 149  88  80 138  22  88 165  88  22  88  22  88 165  88  22  37   1
  89  88 105  88  89  88  89  88 105  88  89  37   1  95]",[  7  89 149  37  29  95 149  37]
2106,"[ 84  22  89 122  95 101  93 180  97  35 179 111 179 101 180  10  97 158
  79  80 173 155 140 102  11   3 173 179 155 140 132 141]",[ 22  89 122  95 101  93 180  97]
2107,"[ 89   7 125 122 149 122 155 125 122 149 122  29 125  89  95  89   7 125
  89 129  89   3 125  89 105  89  71 125  89 105  89 125]",[145 105  89  18 125  89  31 105]
2108,"[ 93  80 119 157 157  93 149  66  93  80 119  79 158  93 149  79  66  79
  93  80  79 119  79  93 149  66  93  80 119  36 177  93]",[157  66 157  93  80 157 119 157]
2109,"[105   3 119 105  93 105 122 105  11  93 105 127 119 105 155  93 105  90
  84 105  79 129 105 173  66 105 129 105  84 105 127 129]",[ 11  66 105   3 129 105  90  84]
2110,"[113 113 178 113  91  34 113 113 113  88  34 113  34 113  28  57  55  55
 170  12 126 125 170 172  12  28  57  55  57  55  57  55]",[ 55  28 138   8   8   8   8   8]
2111,"[148  54  80  95  80 148  54  80  18  89  37  31 146  37  68  95  37  71
 146  37 145   1  89  31  95  89 104 129  89  52 149  89]",[125  89 105  88  89  88  89  84]
2112,"[ 66   8 149  93  73  55  66   8 165  88  48  22  12  66   8  80 165  48
  22  66   8  80 165  25 113  66   8 149  93  25 113  66]",[149  93  28  28 170 170 160 160]
2113,"[ 73 119  73   7  73 119 155  63 119  73   7  73 119  73 119  73   7  73
 119 155 113 129  29  86 127  29  86   7  95  86  66  29]",[ 37 140 146  37  73   3  73  37]
2114,"[ 65 158  65 158  65 158  65 158  97   3 105  62 158  97 158  97 158  97
 158  97  79 122  97 158  79 105 173 155 127  11   3  29]",[ 25  86 119 105  66  80 105  80]
2115,"[ 37  73  37 105   3 154 105  37  73  37 105   3 154 105  37  73  37 105
   3  18 105 119  73 119 105 119 105 119  73 119 105  73]",[ 88 105 119 105  88  86  68  95]
2116,"[155  11 127 155 173 155  11 173 127  79 155 158 173  97  79 180 158  97
  79 158 173  79 155 173 127 155  11 127   3  11  29 127]",[127 119  11   3  29  80  25  73]
2117,"[ 40  40  62  49 161  13  84   8  95  13   8  84  95 175  84  22  95  13
  84   8  95 143 122  84  95  17 167  84  95  95  95  95]",[143  84 122  13   8 143 122   6]
2118,"[ 71 102 104 119  73   7 155 139  65 111  60 104  68 154  68  68 104 119
  73   7 155 139  65 111  60 104  68 154  68  68 104 119]",[  7 155 139  65 111 145  68 135]
2119,"[ 95  11   3  22 119  86  95  48  11  86  48  95 127 155   6  48  11  95
 139  79  48  11  95 155 127   8  73  48 165 155 127  73]",[165  11  11   8  86  29 129  11]
2120,"[ 97   3 180  11 101 140 111 155  35 173 111 155 101 140 180  11  97   3
 158  29  79  25 173  86 155 119 140  37  11  80   3 105]",[129  29 129   7 149 155 119 140]
2121,"[  9  86 119  68  66  80 148 119  66  18  80  66 148 119  66  46  80 105
  68  66  80   9 105  80  20  68 180  97 108 117 180  46]",[117 148  97 180  46  97 117  71]
2122,"[108 118 169 148 150 145 145 126 104 151 107 148   9   9 123   4 117  47
  46 157  35   2  46  20 180  46  65 117  46  79 173  90]",[46 11  7 46 48 29 46 86]
2123,"[124  54 124  54 124  54 178 165  48 101  70  89   1   8 138  89   1 113
  34  95   6 167  42   8 138 178   8 167 178  88 129 165]",[ 76  37  66 167  70   8  73  89]
2124,"[ 21 169  21 169  21 169  52 169  40 169  52 169  78 178  78 178  78 178
 163 178 163  98   4  21 169  21 169  52 169  40 169  52]",[150 178 150 178  78  42  89 167]
2125,"[150 140  34  53 169 127 169 151 169 151 169 151 169 151 127 169 151 169
 127  34 151 169 127  34 151 169 173 138  17 126 139 126]",[126  91 126  91 126  91 139 126]
2126,"[  9 150  17   4 145 178   4  17   9   9   9   9 175 162   9 107   9 162
  18  54  85   4  63  85  71 108  17  46 178  68  85 178]",[ 85  68 144  31 144  31 124  46]
2127,"[178  17  17  51  51  51  51  78  78  51  51 144 144 144 144  54  54 144
 144 179 179   9 121 148 121 148  17 145 145  51  68  51]",[ 51  13  17  17  17 178  17  51]
2128,"[164  30 164 124  10 124  10 124  10 124  10 124  10 124  10 176  10  11
  29 119  80 119  29  11 155 158  46  68  66   8 119 122]",[ 84  93  12 122  64  30 102  30]
2129,"[ 29 140  73  29 155  86  89 129  29 140  29  86  37  86  37 129  95   1
 129  37  86 141  37 129  95 129  37 129   6 141  37  86]",[141  86  37 129  37  86  66  32]
2130,"[ 77 149 109 119 122  88  37 119 122  93  30 122  93  52 176  98 122 129
  83 149 119 176 122 129 149 119 122 129 149 119  37 119]",[149 119 102 122 129  10 149 119]
2131,"[ 90   3 173  26   3 180 143  29  97 143 158  29  79 143 173  29 180 143
  25  11 136  25  11 136  25 153 129  80 155 153  37 155]",[ 80 155  62  89 105 158  62  95]
2132,"[ 80  12  85  32  80  12  85  32  80  12 174  32  70  12 174  32  70  12
 174  32  70  12 174  32  70  12 136  32  25  12 136  32]",[12 85 32 11 12 85 32 11]
2133,"[ 66  70 175  86  42 167 123 129 167 123  66 167 123 129 167  96  55 167
  96 165 167  80 167  85 149 167 138   8  28  88   8  28]",[  8  28  88   8 170  93   8  80]
2134,"[ 29 141 129 114  29 141 129 114  29 141 129 114  29 141 104 104  52  52
 104 104   4   4 104 104  52  52   4   4 104 104  21 104]",[149  34   7 113 149  34   7 113]
2135,"[115 131 131 115 131 131 115 131 131 115 131 131 115 131 131 115 136  27
 109  27  27  27  27  27  97  27  27  97  27  27 117  97]",[ 17 180 115 115  20  27  27  27]
2136,"[ 66   8   7  93  73  55  66   8  48  88 127  48  22  12  66   8  11 165
  48  22  66   8  11 165  25 113  66   8   7  93  66 170]",[  4  81  71 108 162 170 170  76]
2137,"[ 31  29  68 129  18 148 153  52  10 153  62  53  40  10  52  62  14  40
  10 153  21 173  62  53 139 173  18  29 129 148   9 104]",[102  11  41 122   3 135 166 140]
2138,"[ 11  74  11  56 140 158  26  86  45  73  25  29  45  48  45  48 134   3
 173  83 127 122 155  30  66  93 119   3   7 122  11 124]",[129 119  29 127 122 155  30  66]
2139,"[  8 125   3 105  73  89 125   3 149  29   8 125   3 105  73 125  89  86
 105 125  89  70 105  12  89 119  29  25  26   3  29 140]",[ 26 129  25  26   3  29 140  26]
2140,"[ 86  64  29 155   3  25  64   3 127   3  86   6   3  11  48  86   6  48
 127   3  29  84   3 155  11  29 105  11 173 127  29 105]",[173 127  29 105 127 173 127  29]
2141,"[ 97 117  45  79 173 155 127  45  92  51   6 117  79  27 173 155 127  11
  27  76  11   6   3  48  45  25  86 119  66  80 105  95]",[ 84 109  86  26  68 134  82 134]
2142,"[  8 149 125   8 149 125   8 149  76 178 125 113 129  76  76 125  89 165
  78  78 125   8 149  98  78 125  89 165 125  89 165  31]",[ 89  88  54  62  89  95 129  89]
2143,"[173  90 173  11  48  86  80 165  93  95  49 122 115   8  22 173 127   3
 109 127  97 127   3  84 127 173 117 127  48   8 127 155]",[  3  25 122   3 127  79   3  25]
2144,"[179 124  10 155 122 124 122 125 124 122  83  83   6 122 107 122  83 178
  83 178 153  18 144  30 153 132 129 141  95   1 129  37]",[141  37 129  95 129  37 129   6]
2145,"[ 57 138 162  57  54 138  55 138  24  57 138  28  57   1  55   1  54  57
   1  24  57  91 138  55 150 138  91  57 138  57 138  55]",[ 54  57 138  57  24  34 138  32]
2146,"[  6  38 145 153   6 153   6  82 105 100  93 100  93  38 129 143  95 143
  95 174 167  81  22  81  22 153  95  38  22  38  22 171]",[148  22 148  22 129 148  22 148]
2147,"[ 10  41 102 153  10 144  18 153  10  41 102 153  10 153  10  41 102 153
  10  10 124  18  41 102 153  10 153  10 144  18  98  10]",[ 18 144  18  98  10 144  18  98]
2148,"[ 85  86   8 136 174 136 174 131  98  91  98   4 178  46 117 178 150 101
 123 123 166 158 104 139  90  21 169 129 149  70  29 169]",[ 78 178 144  99  98 167 149 149]
2149,"[179   3 168  31 168  31 168  31 168  31 168  31 168  31  75  31 144 178
  31 144  31 178 178  31  85  83  85  83 128   9 128   9]",[  9 128   9 128   9 128   9 128]
2150,"[ 29 140  29   6 141 140 173 158 141 173 140  29 140 173 127  32 141 173
 158 155 141 139 158 155 139 117  11 114 141 139  97  11]",[173 158  11 155 139  11 109 155]
2151,"[158  97 155 122 173  79 158 164  97 180  20 111  35 157 122  36 177 157
 105  35 111  20 180  97 158  95  79 173 155 105 127  11]",[ 11 127 155  93 127 155  90 105]
2152,"[ 88 105  89 105 125 105  73  89 105  86  88 105  70  89 105  86   6 105
   8 105  95 105   8 105   6 105   8 105   3  95 105   8]",[ 48   6 165 122 165 173  95 165]
2153,"[  9  91  91  91  91  91  91  91  91  91  91 150 150 150 150  91  91  91
  91 150 150 150 150 150 150 150 150 150 150 150 150  54]",[54 54 41 41 41 41 91 91]
2154,"[150  91  54  91  54  91  54  91  54  91  54  39  54  39 178  46 178  46
 178  46  78 150  78 150  31 150  77 150  31 150 126  54]",[ 54 126  54 126  54  91  55  88]
2155,"[114 180 141 174 114 180 141 174 114 180 141 174 114 180 141 174 114 180
 141 103  55 180  84 103 113 180  22 103  89 180   8 103]",[180 167 103  95 180  88 103  93]
2156,"[ 66  86  68  95  86  66  86 108  95  25 119  25 145  95  86  66  86  18
  95 119  80 119   9  95  66 105  66 148  95  80 129  80]",[ 95 149 129 149  95 149 129 149]
2157,"[141 165 141  12 171 105 141 141  92 119 141  70  55  25  11  90 171  79
  84 180 173  92  62 122  62  16  62  16  21  16  86  62]",[ 26  62  26 118  26 136  40 146]
2158,"[155 119 173  86  79  25 173  86 155 119 127  66 140  37   3 105  25  93
  70 167  37  89  70 167  86  95  66   8  86  95  66   8]",[84 66  8 86  6 25 12 48]
2159,"[ 46  69 162  85 174  85 174 136 180 167 136  79  93 170 136 107 136 107
  17  25 113  93 136  22 162  93   8 136  22  93 136 174]",[174  76  12  76 108 136  22 136]
2160,"[ 24  41  24  41  24  41  24  41  24  41  24  41  24  41  24  41  24  41
  24  17  27  17  27  17  27  17  13 105  95  95 107 122]",[ 95  95  13   8  84  95  95 143]
2161,"[155 119 112 112 155 119 155 119 164 164 155 119 155 119 112 112 155 119
 155 119 164  18 119 122 119 122 112  18 119 122 119 122]",[ 18 119 122 119 122 112  18 119]
2162,"[ 63  73  79  88   3 178  25   3 154  71   3  91  63   7  65   8   7  69
  93   7  79  93  25 124  80  25 173  12  29  76  93  29]",[108  25 124 174  25 158  93   7]
